kind,name,method,url,source
bootstrap,currentConnection,GET,http://dragons-int.socialquantum.com/mzoo_int_prod/status,client-analysis/bootstrap-config.json
bootstrap,mzoo_kakao_prod,GET,http://dragons-int.socialquantum.com/mzoo_kakao_prod/status,client-analysis/bootstrap-config.json
bootstrap,mzoo_beta,GET,http://dragons-ru.socialquantum.com/mzoo_beta/status,client-analysis/bootstrap-config.json
bootstrap,alpha_0,GET,http://web76.socialquantum.com/mzoo_alpha_0/status,client-analysis/bootstrap-config.json
bootstrap,alpha_1,GET,http://web76.socialquantum.com/mzoo_alpha_1/status,client-analysis/bootstrap-config.json
bootstrap,alpha_2,GET,http://web76.socialquantum.com/mzoo_alpha_2/status,client-analysis/bootstrap-config.json
bootstrap,alpha_3,GET,http://web76.socialquantum.com/mzoo_alpha_3/status,client-analysis/bootstrap-config.json
bootstrap,alpha_4,GET,http://web76.socialquantum.com/mzoo_alpha_4/status,client-analysis/bootstrap-config.json
bootstrap,alpha_5,GET,http://web76.socialquantum.com/mzoo_alpha_5/status,client-analysis/bootstrap-config.json
bootstrap,alpha_6,GET,http://web76.socialquantum.com/mzoo_alpha_6/status,client-analysis/bootstrap-config.json
bootstrap,alpha_7,GET,http://web76.socialquantum.com/mzoo_alpha_7/status,client-analysis/bootstrap-config.json
bootstrap,alpha_8,GET,http://web76.socialquantum.com/mzoo_alpha_8/status,client-analysis/bootstrap-config.json
bootstrap,alpha_9,GET,http://web76.socialquantum.com/mzoo_alpha_9/status,client-analysis/bootstrap-config.json
bootstrap,alpha_10,GET,http://web76.socialquantum.com/mzoo_alpha_10/status,client-analysis/bootstrap-config.json
bootstrap,alpha_11,GET,http://web76.socialquantum.com/mzoo_alpha_11/status,client-analysis/bootstrap-config.json
bootstrap,alpha_int,GET,http://web76.socialquantum.com/mzoo_alpha_int/status,client-analysis/bootstrap-config.json
bootstrap,alpha_kakao,GET,http://web76.socialquantum.com/mzoo_alpha_kakao/status,client-analysis/bootstrap-config.json
bootstrap,alpha_ru,GET,http://web76.socialquantum.com/mzoo_alpha_ru/status,client-analysis/bootstrap-config.json
bootstrap,alpha_web_0,GET,http://web76.socialquantum.com/mzoo_alpha_web_0/status,client-analysis/bootstrap-config.json
bootstrap,alpha_web_1,GET,http://web76.socialquantum.com/mzoo_alpha_web_1/status,client-analysis/bootstrap-config.json
bootstrap,alpha_web_2,GET,http://web76.socialquantum.com/mzoo_alpha_web_2/status,client-analysis/bootstrap-config.json
bootstrap,alpha_web_3,GET,http://web76.socialquantum.com/mzoo_alpha_web_3/status,client-analysis/bootstrap-config.json
bootstrap,local,GET,http://localhost:3000/status,client-analysis/bootstrap-config.json
bootstrap,local_secure,GET,https://localhost/status,client-analysis/bootstrap-config.json
host,baseUrl,,http://10.0.1.86:1221/assets/,client-analysis/bootstrap-config.json
host,guildChat,,web21.socialquantum.com:9933,client-analysis/bootstrap-config.json
host,mobile-assets,,http://mobiledev.socialquantum.com/mobile_assets_west3d/iWest/mp_dz3d_integr_5mb.1.png,client-analysis/apktool/assets/bin/Data/b574d3c6d1257b24ba69344dec96d841
